id,categorie,sous_type,description,indicateurs,secteurs_concernes,sources_documentaires,niveau_risque
TYP-001,Immobilier,Achat cash,"Acquisition immobilière financée intégralement par virements depuis pays tiers, sans crédit",Absence crédit; prix supérieur marché; acheteur hors zone géographique,Immobilier; Notariat,TRACFIN rapport 2023; GAFI RBA Real Estate,ÉLEVÉ
TYP-002,Structures corporates,Shell company,Utilisation de sociétés sans activité économique réelle pour masquer l'origine des fonds,Capital minimal; pas d'employés; objet social vague; siège domicilié,Banque; Conseil; Immobilier,GAFI Guidance Beneficial Ownership 2023,ÉLEVÉ
TYP-003,Espèces,Structuration/Smurfing,Fractionnement de sommes importantes en multiples dépôts sous les seuils de déclaration,Dépôts répétés juste sous 10 000€; horaires variés; guichets multiples,Banque; Change manuel,L.561-15 CMF; TRACFIN,ÉLEVÉ
TYP-004,Commerce international,TBML,Surfacturation/sous-facturation dans les échanges commerciaux pour transférer de la valeur,Écart prix marché; contreparties dans pays à risque; fréquence anormale,Commerce; Import-Export; Trade Finance,FATF TBML Report 2020,ÉLEVÉ
TYP-005,Crypto,Mixer/Tumbler,Utilisation de services de mixage pour brouiller la traçabilité des transactions crypto,Transactions vers mixers connus; volumes fragmentés; multiples wallets,PSAN; Exchanges crypto,FATF Virtual Assets 2021; GAFI,ÉLEVÉ
TYP-006,Transferts informels,Hawala,Transfert de valeur sans mouvement physique d'argent via réseau de courtiers de confiance,Pas de trace bancaire; contreparties dans pays à risque; remises fréquentes,MSB; Diaspora,FATF Guidance Hawala 2013,ÉLEVÉ
TYP-007,PPE,Détournement fonds publics,Dirigeant politique utilisant des structures pour capter et recycler des fonds publics,Patrimoine incohérent avec revenus officiels; sociétés offshore; immobilier luxe,Banque privée; Immobilier; Conseil,OCDE Guidelines; GAFI PPE Rec,ÉLEVÉ
TYP-008,Financement terrorisme,Micro-transferts,Financement d'actes terroristes via de multiples petits transferts sans lien apparent,Montants faibles; bénéficiaires dans zones de conflit; fréquence élevée,Banque; Paiements en ligne; Crypto,L.561-15 CMF al.2; GAFI Rec 5,CRITIQUE
TYP-009,Jeux,Recyclage casino,"Achat de jetons avec fonds illicites, conversion en gains apparemment légaux",Achats cash importants; transactions brèves; mises sans stratégie,Casino; Jeux en ligne,TRACFIN; GAFI R.22,ÉLEVÉ
TYP-010,Professions réglementées,Complaisance notariale,Notaire ou avocat facilitant des transactions sans diligences suffisantes,Actes rapides; prix atypiques; clients non identifiés correctement,Notariat; Avocature,ACPR/CNBF sanctions publiées,ÉLEVÉ
TYP-011,Marchés financiers,Insider trading,Utilisation d'informations privilégiées avant annonce réglementée pour réaliser des gains,Volume anormal avant annonce; intervenant dans liste d'initiés,Marchés financiers; Banque d'investissement,Art. L.465-1 CP; MAR Art.8,ÉLEVÉ
TYP-012,Marchés financiers,Layering,Création d'une fausse impression de liquidité via des ordres annulés rapidement,Ordres/annulations > 90%; volumes importants non exécutés,MTF; Marchés réglementés,MAR Art.12; AMF DOC-2021,ÉLEVÉ
TYP-013,Immobilier,SCI opaque,Utilisation de SCI avec actionnariat complexe pour masquer le bénéficiaire d'un bien,SCI avec holding intermédiaire; UBO non déclaré; financement non traçable,Immobilier; Notariat; Banque,TRACFIN rapport 2022,MOYEN
TYP-014,Paiements,Mule financière,Recrutement de tiers pour recevoir et transférer des fonds illicites contre commission,Virements reçus et retransférés rapidement; justification absente,Banque de détail; Néobanques,TRACFIN; Europol IOCTA,ÉLEVÉ
TYP-015,Crypto,Chain hopping,Conversion rapide d'une cryptomonnaie vers une autre pour brouiller les pistes,Multiples conversions; utilisation de DEX; destination wallet anonyme,PSAN; Exchanges,FATF Virtual Assets 2023,ÉLEVÉ
